Date Snapshot,Rolling Sharpe Ratio
2021-12-13,-0.853353366991249
2021-12-14,-0.7367814942865777
2021-12-15,-0.7249351959013471
2021-12-16,-0.5296579377713183
2021-12-17,-0.3221961552125496
2021-12-20,-0.414419715612662
2021-12-21,-0.524073928283305
2021-12-22,-0.49040574430110795
2021-12-23,-0.4486139297729702
2021-12-24,-0.6237808097243988
2021-12-27,-0.49203189683052734
2021-12-28,-0.6185586300144135
2021-12-29,-0.4639562096277518
2021-12-30,-0.4867525441717855
2021-12-31,-0.6678492537558972
2022-01-03,-0.5728221157127746
2022-01-04,-0.4269810224732985
2022-01-05,-0.6254150071974283
2022-01-06,-0.7367969441900996
2022-01-07,-0.5301390520195243
2022-01-10,-0.6471992998983802
2022-01-11,-0.5518258238861175
2022-01-12,-0.5607136854104663
2022-01-13,-0.7102377054172537
2022-01-14,-0.7392649321618135
2022-01-17,-0.558021091419796
2022-01-18,-0.7824780626567817
2022-01-19,-1.0151691521055228
2022-01-20,-0.8239398983587815
2022-01-21,-0.7112500333012661
2022-01-24,-0.6283717786741558
2022-01-25,-0.6074102696811884
2022-01-26,-0.47379172568728206
2022-01-27,-0.6187663397990891
2022-01-28,-0.5823812230336055
2022-01-31,-0.6205567348411728
2022-02-01,-0.44774955693986246
2022-02-02,-0.30919580787815326
2022-02-03,-0.1779374161964954
2022-02-04,-0.3217893826134589
2022-02-07,-0.30147651447678253
2022-02-08,-0.4208762185940404
2022-02-09,-0.2768131271998718
2022-02-10,-0.4566647442825871
2022-02-11,-0.29364634957300534
2022-02-14,-0.8509165404623181
2022-02-15,-1.1050740476234782
2022-02-16,-1.024745806977972
2022-02-17,-0.9852005228383374
2022-02-18,-0.9976594568580643
2022-02-21,-0.7116753801208273
2022-02-22,-0.13860842696147427
2022-02-23,-0.3268206357825417
2022-02-24,0.11753726091756458
2022-02-25,0.05035203954842737
2022-02-28,0.2610217027030395
2022-03-01,0.4026191348151291
2022-03-02,0.6402366207963363
2022-03-03,0.5166748218401664
2022-03-04,0.36942021065067193
2022-03-07,0.24152206564420733
2022-03-08,0.4787325725639564
2022-03-09,0.6413527753651271
2022-03-10,0.7715614015571677
2022-03-11,0.6327268236884688
2022-03-14,0.4595760075057097
2022-03-15,0.5626923042085543
2022-03-16,0.6845928069120316
2022-03-17,0.5935444334527521
2022-03-18,0.7088388443496516
2022-03-21,0.5595234204705567
2022-03-22,0.9316913904353977
2022-03-23,1.1139710700408814
2022-03-24,1.1250880194073616
2022-03-25,1.48671131817699
2022-03-28,1.5106107823273565
2022-03-29,1.1680240715423642
2022-03-30,1.0975859808988024
2022-03-31,0.7896854139869403
2022-04-01,0.4662450425171582
2022-04-04,0.7925613064404602
2022-04-05,0.6894364149265282
2022-04-06,0.42274217107734535
2022-04-07,-0.005558962926482789
2022-04-08,-0.13149384778592138
2022-04-11,-0.25114458705152076
2022-04-12,-0.27263183698190585
2022-04-13,-0.4696530433463102
2022-04-14,-0.621892819455739
2022-04-15,-0.5634350963074582
2022-04-18,-0.6890498539002702
2022-04-19,-0.6976257342506763
2022-04-20,-0.6060954209246987
2022-04-21,-0.7036986434140897
2022-04-22,-0.7518229684790082
2022-04-25,-0.9104495440649647
2022-04-26,-0.99722743429541
2022-04-27,-1.0642114514663987
2022-04-28,-1.2188259511990276
2022-04-29,-1.3697766623214993
2022-05-02,-1.7862676161657265
2022-05-03,-1.6061199327120983
2022-05-04,-1.568271500197991
2022-05-05,-1.4696563906165268
2022-05-06,-1.4535313558082508
2022-05-09,-1.5949021724818997
2022-05-10,-1.7577862008209872
2022-05-11,-1.9490067743221489
2022-05-12,-1.9664552884136988
2022-05-13,-2.0664193284589314
2022-05-16,-2.3558762144462984
2022-05-17,-2.1405231613925024
2022-05-18,-1.9407218113014226
2022-05-19,-1.9451804826411179
2022-05-20,-1.9568253250811032
2022-05-23,-1.9276297757136498
2022-05-24,-1.774499899507432
2022-05-25,-1.8090269387070956
2022-05-26,-1.610650706855375
2022-05-27,-1.227591581763317
2022-05-30,-1.465348024878429
2022-05-31,-1.5057682773764878
2022-06-01,-1.4341126321007667
2022-06-02,-1.2355969302283272
2022-06-03,-1.4411412471433933
2022-06-06,-1.4669683647617109
2022-06-07,-1.4395043732159747
2022-06-08,-1.4544695092830247
2022-06-09,-1.5807776247338599
2022-06-10,-1.6467327972431591
2022-06-13,-1.7310726643360292
2022-06-14,-1.5357947844428053
2022-06-15,-1.4360761398368205
2022-06-16,-1.3620400583680692
2022-06-17,-1.1794216876195682
2022-06-20,-0.852356435056879
2022-06-21,-0.9279474587477721
2022-06-22,-0.8515993816436027
2022-06-23,-0.7873251974228526
2022-06-24,-0.7292239154791977
2022-06-27,-0.6530920387431584
2022-06-28,-0.8229237135702155
2022-06-29,-0.9927434398080741
2022-06-30,-1.279937838504164
2022-07-01,-1.1790367790772984
2022-07-04,-1.2318991912994306
2022-07-05,-1.2119983426635512
2022-07-06,-1.1275733603896905
2022-07-07,-1.1255099919702094
2022-07-08,-1.1935730089071486
2022-07-11,-1.3485120659272198
2022-07-12,-1.1594817342312493
2022-07-13,-1.2880435351916901
2022-07-14,-1.2083858874967919
2022-07-15,-1.202829685519378
2022-07-18,-0.991402642824912
2022-07-19,-1.2226704276130427
2022-07-20,-1.251786830605056
2022-07-21,-1.5427642741761023
2022-07-22,-1.3189530852375042
2022-07-25,-1.444439841140114
2022-07-26,-1.3702450973877986
2022-07-27,-1.5047343994674747
2022-07-28,-1.5286086988094947
2022-07-29,-1.6624665510680443
2022-08-01,-1.658453137262694
2022-08-02,-1.7855005781117212
2022-08-03,-1.6548147279317287
2022-08-04,-2.015815940016382
2022-08-05,-1.9340206149145653
2022-08-08,-2.0697131014480026
2022-08-09,-1.783749329775313
2022-08-10,-1.6073419843786145
2022-08-11,-1.6874928726401537
2022-08-12,-1.6005701184080547
2022-08-15,-1.6090540125521915
2022-08-16,-1.7383771936378503
2022-08-17,-1.9734290035262774
2022-08-18,-1.9168924593283865
2022-08-19,-2.072547524405943
2022-08-22,-2.134226475388263
2022-08-23,-2.2195817558191155
2022-08-24,-2.1447008480521816
2022-08-25,-2.19738432857738
2022-08-26,-2.0596811779724766
2022-08-29,-2.1692302364409626
2022-08-30,-1.9078150760501165
2022-08-31,-1.6962192108784209
2022-09-01,-1.7949095374632964
2022-09-02,-1.790892609201575
2022-09-05,-1.5226667134179406
2022-09-06,-1.2796608367478297
2022-09-07,-1.1955537192423142
2022-09-08,-1.2435477039251541
2022-09-09,-1.2284292831597168
2022-09-12,-1.306946521879607
2022-09-13,-1.1580467600647202
2022-09-14,-1.101126663368984
2022-09-15,-1.164634431905359
2022-09-16,-0.9133800499693523
2022-09-19,-1.3763600569660146
2022-09-20,-1.4196820615797654
2022-09-21,-1.110930296797485
2022-09-22,-1.118910972342882
2022-09-23,-0.7129858209826606
2022-09-26,-0.5710073900577983
2022-09-27,-0.6643910263407383
2022-09-28,-0.6885702314441273
2022-09-29,-0.44718058408282
2022-09-30,-0.1395430780904203
2022-10-03,-0.026401773470815963
2022-10-04,0.04583715874789507
2022-10-05,-0.026635268482070915
2022-10-06,0.2244431557488307
2022-10-07,0.4673216726098007
2022-10-10,0.24880180628655324
2022-10-11,0.3640893296016476
2022-10-12,0.5233482827553666
2022-10-13,0.5971394548679938
2022-10-14,0.5249693764618116
2022-10-17,0.6211972579231271
2022-10-18,0.7482197425982158
2022-10-19,0.5385391884076832
2022-10-20,0.7148616207829819
2022-10-21,0.6979445684468086
2022-10-24,0.7886001464768421
2022-10-25,1.2218539740901502
2022-10-26,1.2700661384078151
2022-10-27,1.2641205041484835
2022-10-28,1.0331929999838037
2022-10-31,1.0818757284824974
2022-11-01,1.1648912933000073
2022-11-02,0.9475721285839759
2022-11-03,1.1465872107057737
2022-11-04,1.0264166673864414
2022-11-07,1.0144602724360061
2022-11-08,1.1573676957709587
2022-11-09,1.0658562481560918
2022-11-10,0.9428075060149347
2022-11-11,0.8199758321990956
2022-11-14,0.883492079899108
2022-11-15,1.0450737927291447
2022-11-16,0.7698371280126626
2022-11-17,1.009215253020465
2022-11-18,1.0718373390001943
2022-11-21,0.84435949727474
2022-11-22,1.0470283370952047
2022-11-23,1.1811536505443732
2022-11-24,1.0543373286205417
2022-11-25,1.1025296660176296
2022-11-28,1.1764905029724546
2022-11-29,1.0861807442181546
2022-11-30,1.0700914597144604
